#,Time,Title,_source_page,_wiki_api,biome_category,game
4,2:57,The Dark Portal [Cinematic Intro],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,4:23,Origins,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
6,4:16,Bloodmyst,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
7,4:13,Wastelands,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
8,2:30,The Battle of Mount Hyjal,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
9,2:42,Azuremyst Isle,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
10,2:11,Silvermoon City,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
11,4:20,Netherstorm,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
12,4:28,The Escape from Durnholde,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
13,2:44,Outland Suite,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
14,4:15,The Tower of Karazhan,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
15,3:10,Illidan,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
16,2:37,Opening of the Dark Portal,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
17,1:59,Hellfire,The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
18,4:00,The Gates of Ahn'Qiraj [Collector Exclusive],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
19,4:22,Shadow of the Necropolis [Collector Exclusive],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
20,4:26,Taverns [Collector Exclusive],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
21,2:57,Lament of the Highborne [Collector Exclusive],The Burning Crusade Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
1,11:25,Through the Roof of the World,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
2,5:19,The King & The Queen,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
3,10:37,Drought,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
4,7:16,The Undying City,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
5,5:05,A Den of Opportunities,Shadowlands Soundtrack,https://wowpedia.fandom.com/api.php,unclassified,World of Warcraft
